energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.916,0.225,128.012,0.0626,0.0453,1.26e-05,4,0.559,11,215295,-3.05,0.195,1,audio_features,spotify:track:2EpS5TgdngSISM63rhBsnK
0.69,0.059,123.997,0.0856,0.0227,0.0526,4,0.868,3,192906,-5.606,0.457,0,audio_features,spotify:track:2dwnD6tMYqp8zQmfg1XvNQ
0.87,0.0429,123.999,0.0493,0.00424,0.196,4,0.818,9,219429,-5.162,0.741,1,audio_features,spotify:track:2Rnkr8qIMsefE7ubIm4JAo
0.552,0.0876,123.004,0.0314,0.00113,0.0101,4,0.796,0,493796,-7.226,0.468,1,audio_features,spotify:track:1u73tmG4xQschbK8cXxSD9
0.692,0.0603,125.024,0.0492,0.0187,0.728,4,0.897,11,278400,-4.985,0.607,0,audio_features,spotify:track:30Ek6vDZ77PWTQS9HiV3xB
0.79,0.0746,129.005,0.0672,0.0418,0.00615,4,0.862,4,186125,-8.412,0.587,0,audio_features,spotify:track:3BbD2sqk7P7Rc9V0KF9o4s
0.866,0.126,128.009,0.0543,0.00199,0.177,4,0.817,11,288750,-4.63,0.702,1,audio_features,spotify:track:1QPb3sFVfZlcrSHp9skszO
0.69,0.0526,125.004,0.0493,0.0127,6e-05,4,0.847,1,186662,-7.877,0.692,0,audio_features,spotify:track:4zN21mbAuaD0WqtmaTZZeP
0.991,0.697,127.996,0.247,0.00103,0.192,4,0.573,0,271875,-8.586,0.0651,1,audio_features,spotify:track:6lg50M13aPGe5HXhdrYWqN
0.832,0.178,125.017,0.0499,0.00945,0.206,3,0.721,8,288934,-7.251,0.303,1,audio_features,spotify:track:2aoOHHnDzS653vhmsCzmIp
0.801,0.0412,125.945,0.0697,0.0217,0.00731,4,0.859,11,169534,-4.431,0.668,0,audio_features,spotify:track:7fAMw90ZJpLiSzK1d3grfF
0.876,0.29,124.999,0.0408,0.129,1.39e-06,4,0.629,5,188260,-5.572,0.645,0,audio_features,spotify:track:44xO8889yUQHn70P73NILS
0.745,0.198,125.013,0.0755,0.0467,3.29e-05,4,0.824,11,210547,-5.49,0.888,0,audio_features,spotify:track:7dsImih2L25fa6qjNphBI7
0.937,0.0912,125.025,0.0496,0.0443,0.101,4,0.779,9,185000,-6.269,0.49,0,audio_features,spotify:track:3T00mhdOYUuM5yiuPs3xhs
0.849,0.159,125.99,0.0378,0.00172,0.82,4,0.73,2,186687,-6.899,0.688,1,audio_features,spotify:track:5h2ED2Bw6lKWZDOuQTTSDG
0.906,0.162,131.027,0.115,0.00746,0.0295,4,0.738,7,244284,-5.289,0.697,0,audio_features,spotify:track:51bwChuoablcgmmSjvwe8Y
0.877,0.0886,125.033,0.0497,0.372,0.544,4,0.74,1,240480,-8.357,0.377,1,audio_features,spotify:track:7xbBNB9bivza5vrYfnZJYg
0.801,0.044,123.971,0.112,0.12,4.37e-05,4,0.916,11,264375,-4.744,0.787,0,audio_features,spotify:track:3mUIgnJl0lkGkg5DoWvPlB
