,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Missed You - Bonus Track,0.689,0.374,5,-10.038,0,0.0851,0.115,0.000132,0.111,0.321,151.98,144540,2020
I Was Never There,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,2018
Privilege,0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,170573,2018
Hurt You,0.476,0.718,5,-7.227,0,0.149,0.263,0.00261,0.109,0.361,183.932,230027,2018
Party Monster,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,249213,2016
False Alarm,0.517,0.677,8,-6.373,0,0.0746,0.0324,3.37e-05,0.189,0.192,173.978,220307,2016
Reminder,0.49,0.839,2,-3.073,0,0.34,0.0224,8.98e-05,0.134,0.422,91.349,258093,2009
Rockin’,0.738,0.885,9,-5.547,0,0.206,0.0133,0.0,0.0821,0.752,112.878,232880,2016
Secrets,0.741,0.772,0,-4.115,0,0.282,0.0686,1.22e-05,0.418,0.728,107.708,293213,2009
True Colors,0.776,0.551,1,-9.078,1,0.156,0.0407,0.0,0.117,0.542,130.058,203572,2019
Sidewalks,0.542,0.72,1,-5.136,0,0.0628,0.147,0.0,0.348,0.623,149.828,231360,2016
Stargirl Interlude,0.638,0.474,5,-12.7,0,0.124,0.351,0.191,0.105,0.441,179.771,111640,2016
Six Feet Under,0.772,0.504,6,-8.219,0,0.0761,0.129,0.0,0.125,0.244,140.035,237573,2016
Love To Lay,0.711,0.807,7,-5.052,0,0.0608,0.052,0.0,0.214,0.698,116.971,223293,2016
A Lonely Night,0.853,0.663,7,-6.955,0,0.0755,0.0431,8.71e-06,0.0891,0.864,113.998,220173,2016
Attention,0.739,0.798,11,-7.971,1,0.414,0.154,0.0096,0.126,0.668,154.148,201040,2019
Ordinary Life,0.537,0.587,7,-7.486,0,0.0771,0.0275,0.0,0.0961,0.365,149.748,221920,2016
Nothing Without You,0.575,0.634,1,-8.1,1,0.068,0.0646,0.0,0.0878,0.191,109.825,198653,2016
All I Know,0.779,0.86,4,-4.617,0,0.059,0.0467,0.0,0.285,0.402,143.155,179320,2013
I Feel It Coming,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,269187,2016
Tell Your Friends,0.583,0.454,1,-11.091,0,0.0425,0.265,0.0,0.181,0.309,74.64,334333,2015
Often,0.775,0.439,0,-10.295,0,0.134,0.0643,0.0638,0.156,0.251,163.035,236147,2017
Acquainted,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,2015
Can't Feel My Face,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,2015
Shameless,0.603,0.563,6,-8.313,1,0.027,0.147,0.0,0.109,0.234,100.06,253507,2015
In The Night,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,2015
Prisoner,0.551,0.405,0,-12.756,0,0.0398,0.443,0.000217,0.11,0.341,135.017,274960,2015
Angel,0.802,0.77,6,-2.998,1,0.0925,0.143,0.0,0.0424,0.778,85.286,235133,2000
YAH.,0.67,0.7,1,-7.893,1,0.196,0.576,5.34e-06,0.226,0.648,69.986,160293,2017
ELEMENT.,0.73,0.686,4,-4.713,0,0.491,0.219,0.0,0.211,0.459,189.889,208733,2017
FEEL.,0.746,0.798,0,-8.382,1,0.349,0.137,0.0,0.139,0.553,109.968,214827,2017
PRIDE.,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,2017
LUST.,0.678,0.562,3,-9.197,0,0.508,0.193,0.0,0.104,0.566,94.241,307880,2017
XXX. FEAT. U2.,0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,254200,2017
FEAR.,0.588,0.479,1,-7.039,1,0.281,0.604,7.2e-06,0.527,0.434,150.414,460573,2017
GOD.,0.706,0.557,0,-5.8,1,0.0813,0.0347,0.0,0.276,0.205,132.98,248827,2017
DUCKWORTH.,0.552,0.731,7,-6.873,1,0.615,0.0536,0.0,0.258,0.632,174.516,248613,2017
Wesley's Theory,0.509,0.787,7,-6.754,1,0.265,0.359,2.76e-05,0.26,0.507,114.449,287360,2015
King Kunta,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,2015
Institutionalized,0.539,0.731,3,-5.085,0,0.453,0.112,1.19e-06,0.129,0.568,81.114,271773,2015
These Walls,0.752,0.489,1,-5.233,1,0.137,0.11,3.57e-06,0.202,0.373,108.005,300973,2015
u,0.406,0.798,11,-5.585,0,0.432,0.26,0.0,0.461,0.58,71.547,268493,2015
Alright,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,2015
Momma,0.615,0.743,1,-4.58,1,0.325,0.254,0.0,0.665,0.515,111.914,283120,2015
Hood Politics,0.731,0.661,6,-6.562,0,0.376,0.145,0.0,0.12,0.369,87.912,292520,2015
How Much A Dollar Cost,0.624,0.729,1,-4.747,1,0.198,0.415,0.0,0.135,0.334,87.948,261747,2015
Complexion (A Zulu Love),0.665,0.558,2,-7.863,0,0.303,0.566,4.57e-06,0.219,0.37,89.953,263360,2015
The Blacker The Berry,0.553,0.852,10,-4.08,0,0.305,0.00713,0.0,0.463,0.27,176.058,328827,2015
You Ain't Gotta Lie (Momma Said),0.443,0.635,11,-5.404,0,0.223,0.455,2.07e-05,0.285,0.672,93.742,241680,2015
i,0.541,0.809,8,-4.286,1,0.324,0.708,0.0,0.72,0.753,120.094,336013,2015
Mortal Man,0.567,0.525,10,-9.043,0,0.75,0.665,0.0,0.708,0.416,86.935,727107,2015
Sherane a.k.a Master Splinter’s Daughter,0.503,0.508,10,-11.094,0,0.52,0.486,0.0102,0.124,0.317,81.908,273640,2012
"Bitch, Don’t Kill My Vibe",0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,2012
Backseat Freestyle,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,2012
The Art of Peer Pressure,0.555,0.611,10,-9.216,0,0.356,0.286,0.00106,0.273,0.411,94.939,324533,2012
Money Trees,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,2012
Poetic Justice,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,2012
good kid,0.451,0.831,5,-8.641,0,0.307,0.0623,0.0,0.185,0.41,176.162,214120,2012
m.A.A.d city,0.511,0.722,2,-6.796,1,0.272,0.0543,2.92e-06,0.465,0.195,149.117,350120,2012
Swimming Pools (Drank) - Extended Version,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,2012
"Sing About Me, I'm Dying Of Thirst",0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-05,0.13,0.371,110.722,723573,2012
Real,0.426,0.775,8,-10.719,0,0.424,0.164,0.0,0.118,0.416,174.577,123480,2012
Compton,0.733,0.935,1,-2.634,1,0.248,0.171,0.0,0.189,0.72,91.943,281200,2006
The Recipe - Bonus Track,0.759,0.782,11,-6.975,0,0.0741,0.000589,0.0,0.35,0.507,131.04,352853,2012
Black Boy Fly - Bonus Track,0.593,0.731,1,-5.21,1,0.149,0.108,1.52e-06,0.103,0.61,160.084,279147,2012
Now Or Never - Bonus Track,0.528,0.708,7,-5.879,0,0.207,0.264,0.0,0.308,0.781,97.8,256013,2012
"Bitch, Don’t Kill My Vibe - Remix",0.631,0.791,1,-5.776,1,0.227,0.0545,0.0,0.226,0.123,133.672,278800,2012
Michael Jordan,0.713,0.803,9,-5.311,1,0.287,0.0759,0.0,0.129,0.522,153.987,350699,2010
Clap - From Road To Fast 9 Mixtape,0.624,0.769,1,-5.116,0,0.084,0.155,0.0,0.157,0.6,147.018,140041,2020
Pyramids,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,2012
PCH,0.642,0.44,9,-10.909,0,0.0745,0.102,0.002,0.108,0.123,90.939,351202,2014
Acid Rain,0.727,0.527,9,-7.111,1,0.252,0.218,0.000228,0.113,0.102,84.471,216313,2013
Blue World,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,2020
Falcon (feat. Raury),0.715,0.722,10,-7.713,1,0.34,0.233,0.000392,0.108,0.134,132.984,223903,2017
Ninety,0.398,0.69,1,-6.809,0,0.0631,0.384,0.000437,0.129,0.174,129.904,468168,2017
Lost Boy,0.364,0.692,4,-6.498,0,0.0519,0.0127,0.331,0.179,0.144,89.992,569874,2017
The Passion,0.43,0.732,8,-4.413,1,0.428,0.339,0.0,0.117,0.0761,69.873,269702,2017
Fallen,0.499,0.712,1,-7.563,0,0.119,0.121,0.0798,0.0993,0.231,82.523,262474,2017
Watch Me,0.734,0.722,0,-4.872,1,0.071,0.0108,0.000201,0.157,0.229,129.927,154456,2017
Rapper,0.711,0.842,10,-5.561,0,0.0413,0.0957,0.0389,0.16,0.501,139.98,140631,2017
SYRE,0.398,0.624,10,-8.698,1,0.098,0.975,0.009,0.128,0.214,118.802,234000,2017
Summertime In Paris,0.569,0.86,9,-4.116,1,0.043,0.135,0.0,0.153,0.289,90.937,270960,2019
NOIZE,0.47,0.794,2,-3.642,1,0.114,0.113,0.0,0.119,0.133,160.12,247760,2019
K,0.492,0.635,1,-6.779,0,0.371,0.265,0.0,0.122,0.177,174.148,280720,2019
i-drip-or-is,0.73,0.719,2,-6.325,1,0.205,0.239,2.25e-06,0.104,0.307,82.944,237013,2019
Chateau,0.759,0.812,8,-4.257,1,0.251,0.251,0.0,0.348,0.229,139.911,135880,2019
On My Own,0.344,0.843,1,-3.711,0,0.0422,0.0214,0.00345,0.189,0.219,97.5,244720,2019
Pain,0.397,0.586,0,-7.242,1,0.104,0.272,9.06e-05,0.18,0.33,151.31,375320,2019
ERYS,0.326,0.577,2,-9.843,1,0.106,0.753,1.56e-05,0.382,0.23,95.502,471813,2019
Ghost - Remix,0.77,0.589,1,-4.942,1,0.111,0.144,8.61e-06,0.178,0.163,148.056,162220,2019
Somebody Else,0.469,0.278,2,-11.274,1,0.0262,0.766,0.0,0.13,0.197,90.03,222031,2019
Beautiful Disruption,0.567,0.855,11,-3.377,0,0.0708,0.149,0.0,0.132,0.348,160.071,138031,2019
SOHO,0.547,0.596,8,-7.744,0,0.192,0.342,0.335,0.148,0.368,159.985,208493,2018
A Calabasas Freestyle,0.707,0.746,0,-5.448,1,0.172,0.141,0.0141,0.145,0.381,82.477,179333,2018
Play This On A Mountain At Sunset,0.345,0.301,3,-12.883,0,0.0335,0.9,0.000428,0.182,0.472,82.656,341347,2018
Plastic,0.759,0.733,10,-7.015,0,0.165,0.201,0.0,0.13,0.411,144.96,136760,2018
Rollin Around,0.668,0.393,5,-12.909,1,0.281,0.673,0.289,0.108,0.449,183.849,168627,2018
FALLEN Part 2,0.308,0.596,6,-8.644,1,0.0933,0.64,3.02e-05,0.303,0.285,171.248,298733,2018
Ten Ten,0.68,0.58,7,-9.523,1,0.0901,0.0986,0.0,0.0947,0.664,139.975,118427,2018
Yeah Yeah,0.717,0.566,6,-10.171,1,0.12,0.524,5.2e-05,0.141,0.358,124.004,173827,2018
Distant,0.372,0.575,0,-12.311,0,0.376,0.814,0.000226,0.0925,0.485,157.75,366120,2018
Glitter,0.449,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,224893,2017
Surf,0.976,0.493,10,-12.867,0,0.272,0.932,0.0139,0.11,0.617,121.985,151547,2015
The Real Her,0.567,0.309,8,-14.254,1,0.385,0.166,0.0,0.12,0.509,65.041,321080,2011
Cudi Montage,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197001,2018
745,0.785,0.476,1,-9.805,1,0.115,0.115,0.00165,0.092,0.223,118.931,227560,2017
Wicked Games,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,323747,2012
Seigfried,0.377,0.255,4,-11.165,0,0.0387,0.975,0.000208,0.102,0.37,125.004,334570,2016
Objects in the Mirror,0.645,0.658,1,-6.625,1,0.0532,0.623,2.02e-05,0.107,0.19,77.021,259144,2013
Goldie,0.68,0.843,1,-4.919,1,0.241,0.22,3.02e-05,0.378,0.743,81.958,192067,2013
Next Up - Part 1,0.887,0.501,1,-7.982,1,0.419,0.498,0.0,0.122,0.403,145.995,163605,2017
Grinding All My Life,0.6,0.716,3,-5.554,0,0.384,0.0491,0.0,0.109,0.246,180.165,175040,2018
Last Time That I Checc'd (feat. YG),0.711,0.746,1,-4.224,1,0.253,0.0289,0.0,0.371,0.279,96.024,225573,2018
Blueprint (feat. Dave East),0.616,0.84,5,-5.876,1,0.332,0.222,0.0,0.724,0.582,87.683,338200,2017
Thug Life (feat. Young Thug),0.444,0.688,11,-7.725,0,0.456,0.0724,0.0,0.103,0.477,76.496,237293,2017
The Field (feat. Bino Rideaux & Young Dolph),0.753,0.642,6,-6.837,0,0.201,0.131,0.0,0.698,0.566,128.021,225040,2017
"I Do It (ft. Big Sean, Lil Baby)",0.804,0.528,1,-3.231,1,0.378,0.125,0.0,0.41,0.321,138.005,184440,2020
"Left, Right",0.741,0.415,2,-6.775,0,0.0489,0.318,0.0,0.104,0.404,87.079,154880,2019
I Don't Sleep (ft. Takeoff),0.587,0.635,8,-6.369,1,0.422,0.0785,0.0,0.175,0.758,82.517,200733,2020
Decline (feat. Lil Baby),0.474,0.589,0,-7.292,0,0.141,0.445,0.0,0.139,0.51,113.202,225013,2019
Hate Bein' Sober,0.82,0.47,8,-7.181,1,0.0458,0.00435,0.0,0.141,0.313,132.003,280173,2012
I Don't Like,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,2012
Home,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,211360,2018
Dear,0.628,0.562,11,-11.347,0,0.407,0.287,0.0,0.29,0.39,136.036,263053,2015
Cuz,0.797,0.557,9,-9.33,0,0.347,0.0172,0.0,0.0775,0.328,129.908,239935,2015
Who Is That,0.684,0.772,9,-6.782,0,0.294,0.287,0.0,0.109,0.598,130.265,260441,2015
Swag,0.712,0.618,0,-9.872,1,0.457,0.0273,0.0,0.145,0.546,130.354,215954,2015
Cashin',0.736,0.399,7,-11.236,1,0.0837,0.501,0.0,0.115,0.4,130.064,261460,2015
Wayne,0.728,0.608,9,-6.297,0,0.383,0.025,0.0,0.113,0.157,130.129,229407,2015
Jet Lag,0.853,0.803,11,-3.297,1,0.292,0.0085,2.41e-05,0.104,0.433,169.957,203720,2019
Trap And A Dream (feat. Meek Mill),0.611,0.804,1,-5.633,1,0.276,0.041,0.0,0.418,0.374,162.087,189667,2017
Aww Yeah (feat. Lil Yachty),0.759,0.618,0,-6.748,1,0.0448,0.0194,0.000117,0.12,0.134,120.956,194573,2017
Olympian (feat. Dave East),0.853,0.583,8,-4.563,1,0.281,0.15,2.52e-06,0.0864,0.365,160.026,211280,2017
Mad Man (feat. Playboi Carti),0.654,0.762,1,-3.994,1,0.0705,0.0956,0.0,0.171,0.0728,132.1,159027,2017
Coach Cartier (feat. Famous Dex),0.863,0.451,1,-5.968,1,0.0647,0.0708,0.00028,0.217,0.0422,126.98,181427,2017
Nasty (Who Dat) (feat. Migos),0.661,0.636,4,-4.551,0,0.118,0.0203,2.25e-05,0.378,0.428,179.041,209813,2017
"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)",0.678,0.871,1,-2.461,0,0.268,0.0799,0.0,0.369,0.329,134.37,335573,2017
One Night Savage (feat. MadeinTYO),0.71,0.837,4,-5.436,0,0.214,0.661,5.81e-06,0.16,0.659,81.099,152640,2017
"Mattress REMIX (feat. A$AP Rocky, Playboi Carti, Rich The Kid & Famous Dex)",0.815,0.824,1,-2.709,1,0.0761,0.0083,0.0,0.351,0.29,120.031,272680,2017
Trillionaire (feat. Youngboy Never Broke Again),0.768,0.526,0,-7.182,1,0.209,0.237,0.0,0.139,0.473,139.999,167552,2020
Where This Flower Blooms (feat. Frank Ocean),0.686,0.429,8,-10.402,0,0.15,0.71,3.41e-06,0.166,0.27,130.09,194933,2017
Pothole (feat. Jaden Smith),0.543,0.572,11,-8.974,1,0.338,0.51,7.23e-06,0.28,0.569,89.386,237000,2017
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),0.48,0.61,0,-7.042,1,0.305,0.0456,0.0,0.313,0.297,90.034,255653,2017
Droppin' Seeds (feat. Lil' Wayne),0.401,0.532,5,-11.554,0,0.508,0.103,0.0,0.478,0.413,84.777,60000,2017
Been Around the World (feat. The Notorious B.I.G. & Mase),0.815,0.529,6,-10.117,0,0.28,0.0191,0.0,0.406,0.73,99.439,325933,1997
AMAZING GRACE,0.775,0.832,1,-3.629,1,0.277,0.0375,0.0,0.078,0.962,153.6,88667,2020
BILLBOARD BABY,0.956,0.742,1,-5.59,1,0.144,0.19,0.0,0.126,0.582,120.067,81200,2020
PRACTICE,0.849,0.536,1,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,122587,2020
PEEP HOLE,0.833,0.513,11,-9.865,1,0.392,0.00332,0.000133,0.115,0.478,127.884,136587,2020
Always n Forever (feat. Lil Baby),0.651,0.456,1,-10.118,1,0.207,0.258,1.62e-06,0.25,0.236,161.927,197044,2020
Savage On The Loose,0.827,0.748,8,-5.356,0,0.237,0.0395,0.0,0.0975,0.645,88.542,143077,2020
Woodlawn,0.784,0.586,10,-5.148,1,0.057,0.159,0.0,0.183,0.824,113.973,143153,2020
My Reality,0.38,0.877,5,-3.955,1,0.28,0.177,0.0,0.106,0.402,179.868,189456,2020
Becky,0.579,0.646,10,-4.638,0,0.0402,0.0379,0.000499,0.114,0.326,87.962,220651,2020
Mama,0.616,0.689,0,-6.031,1,0.162,0.33,0.000102,0.13,0.467,92.418,218934,2020
"Pressure In My Palms (feat. slowthai, Vince Staples)",0.647,0.537,0,-8.638,0,0.407,0.307,0.0,0.401,0.698,171.943,237500,2020
"Roots (feat. JID, Charlie Wilson)",0.55,0.76,0,-3.707,1,0.219,0.358,0.0,0.59,0.509,138.137,267983,2020
Purple (feat. Polo G & Deno),0.842,0.813,5,-5.514,1,0.0491,0.0284,0.0,0.412,0.437,124.987,192200,2020
Top Gone (with Lunay),0.83,0.467,6,-7.204,0,0.0872,0.0512,0.0,0.0648,0.529,104.017,194453,2020
Cereal (feat. Kenny Mason),0.669,0.617,9,-8.011,1,0.252,0.0733,3.12e-06,0.159,0.613,128.202,198863,2020
She Know (feat. Lil Baby),0.793,0.5,1,-8.331,0,0.367,0.0623,0.0,0.0983,0.496,151.888,193547,2020
My Life Story,0.522,0.684,4,-5.516,0,0.338,0.247,0.0,0.157,0.439,157.592,227848,2020
Painless 2 (with NAV feat. Lil Durk),0.714,0.436,5,-8.938,0,0.322,0.439,0.0,0.121,0.535,138.035,242368,2020
Smile (with The Weeknd),0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,196180,2020
Daydream,0.67,0.615,6,-6.826,0,0.286,0.00401,0.0,0.0995,0.214,140.036,142077,2020
Double Bacc,0.752,0.677,6,-7.107,0,0.348,0.164,0.0,0.272,0.901,159.891,194457,2020
Who TF Up in My Trap,0.621,0.799,2,-4.94,1,0.0723,0.0273,0.0,0.231,0.687,173.087,144535,2020
Shotta Flow 4 (feat. Chief Keef),0.78,0.866,11,-4.007,0,0.357,0.169,0.0,0.289,0.813,129.958,217365,2020
Top Shotta Flow,0.759,0.62,11,-6.889,0,0.363,0.0186,0.0,0.0855,0.834,149.975,166741,2020
Gamble With My Heart,0.484,0.616,0,-8.098,0,0.199,0.0521,0.0,0.133,0.375,83.6,182640,2020
Can't Take It,0.493,0.584,9,-8.638,0,0.479,0.0149,0.0,0.0807,0.68,77.532,185838,2020
Paranoid,0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.167,0.253,159.914,221787,2018
Watch Out for the Narcs,0.754,0.53,1,-8.097,1,0.478,0.0114,0.0,0.0811,0.451,160.152,216044,2020
Made It Happen,0.655,0.716,5,-6.719,0,0.32,0.0237,0.0,0.108,0.605,84.979,171524,2020
2 Phones,0.895,0.681,7,-5.267,0,0.358,0.157,0.0,0.189,0.554,121.918,240000,2016
Really Really,0.762,0.666,0,-6.055,1,0.0916,0.00427,0.0,0.127,0.278,118.97,232093,2016
Girl Of My Dreams,0.586,0.547,4,-7.383,0,0.095,0.502,0.0,0.0963,0.35,75.911,159817,2020
One Shot (feat. Lil Baby) - From Road To Fast 9 Mixtape,0.589,0.684,1,-4.51,0,0.394,0.143,0.0,0.214,0.261,112.592,196542,2020
Burgundy (feat. Vince Staples),0.539,0.846,0,-5.539,1,0.252,0.218,0.0,0.251,0.49,130.358,127413,2013
Sunday (feat. Frank Ocean),0.716,0.568,2,-8.904,1,0.212,0.278,1.98e-06,0.385,0.905,136.894,205800,2013
Hive (feat. Vince Staples & Casey Veggies),0.619,0.742,1,-6.995,1,0.496,0.204,0.0,0.166,0.782,144.602,277240,2013
"Sasquatch (feat. Tyler, The Creator)",0.457,0.687,9,-7.506,1,0.316,0.0123,0.0,0.703,0.217,80.51,168240,2013
Guild (feat. Mac Miller),0.727,0.274,1,-15.7,1,0.457,0.331,7.73e-05,0.0961,0.168,108.031,233720,2013
Mamacita (feat. Rich Homie Quan & Young Thug),0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-06,0.127,0.216,115.021,274320,2014
Akbar,0.882,0.71,10,-6.688,0,0.157,0.522,0.0,0.131,0.445,118.915,142122,2018
Untouchable,0.529,0.746,8,-4.463,1,0.304,0.22,1.6e-05,0.0947,0.608,83.354,189893,2015
Valuable Pain,0.525,0.811,5,-5.702,0,0.345,0.23,0.0,0.213,0.513,169.685,169459,2018
No Smoke,0.764,0.511,0,-9.673,1,0.124,0.00806,0.0,0.132,0.0736,119.965,180013,2018
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),0.859,0.506,10,-8.115,0,0.418,0.105,0.0,0.113,0.153,140.973,187465,2018
"Never Recover (Lil Baby & Gunna, Drake)",0.753,0.686,1,-5.415,0,0.284,0.0677,0.0,0.193,0.886,132.055,194732,2018
My Jeans (Lil Baby & Gunna feat. Young Thug),0.435,0.715,11,-5.869,1,0.186,0.119,0.0,0.531,0.382,100.576,196448,2018
Style Stealer (Lil Baby & Gunna),0.808,0.523,1,-7.034,0,0.0605,0.0741,0.000295,0.0957,0.321,155.998,185382,2018
I Am (Lil Baby & Gunna),0.822,0.461,1,-6.506,1,0.449,0.328,0.0,0.122,0.268,130.003,145060,2018
Underdog (Lil Baby & Gunna),0.791,0.735,5,-4.764,0,0.16,0.0427,0.0,0.134,0.497,144.985,211853,2018
Deep End (Lil Baby & Gunna),0.658,0.535,11,-8.197,1,0.515,0.257,0.0,0.0981,0.395,150.055,174662,2018
Business Is Business (Lil Baby & Gunna),0.821,0.636,7,-6.038,0,0.0899,0.288,0.0,0.104,0.4,142.008,162268,2018
Time (feat. Meek Mill),0.781,0.487,8,-8.823,1,0.589,0.0335,0.0,0.163,0.344,95.879,182723,2018
Ready (feat. Gunna),0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027,213287,2018
Anyway (feat. 2 Chainz & Gucci Mane),0.874,0.552,2,-5.997,1,0.383,0.0555,0.0,0.279,0.231,140.098,226647,2018
Section 8 (feat. Young Thug),0.736,0.519,0,-6.111,0,0.379,0.219,0.0,0.143,0.677,139.966,206524,2018
Word On The Street,0.888,0.432,10,-9.275,0,0.0934,0.0562,0.0,0.112,0.173,99.965,172986,2018
Throwing Shade,0.793,0.447,7,-9.253,1,0.151,0.0117,0.00019,0.109,0.188,139.949,192382,2018
"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",0.755,0.629,0,-8.284,1,0.312,0.32,0.0,0.126,0.591,143.083,188853,2016
Zoo York (feat. Fivio Foreign & Pop Smoke),0.565,0.569,6,-6.084,0,0.379,0.0352,8.81e-06,0.106,0.303,92.466,214825,2020
I'm Finna Shoot You - Remix,0.843,0.516,11,-7.754,0,0.319,0.0196,0.0,0.122,0.378,140.074,169260,2020
Playinwitme (feat. Kehlani),0.689,0.584,1,-5.768,0,0.119,0.339,0.0,0.297,0.676,156.572,191680,2018
Big Steppa,0.423,0.573,11,-7.368,0,0.333,0.116,0.0,0.168,0.379,84.221,241006,2021
Hotel Lobby,0.688,0.61,11,-6.79,1,0.109,0.198,0.00154,0.114,0.201,88.995,151011,2020
"Bandz (feat. Yo Gotti, Kevin Gates & Denzel Curry) - Loge21 Remix",0.715,0.815,10,-3.956,0,0.278,0.0495,0.0295,0.308,0.499,115.806,196105,2020
t h e . c l i m b . b a c k,0.618,0.632,11,-6.973,1,0.346,0.0526,0.0,0.353,0.319,81.446,306257,2021
Magic (feat. NLE Choppa),0.803,0.483,6,-7.205,0,0.114,0.0734,0.0113,0.0928,0.423,125.954,182857,2020
Love In My Pocket,0.832,0.615,0,-7.948,0,0.0351,0.02,0.0,0.11,0.77,113.017,223093,2020
Keanu Reeves,0.71,0.888,2,-6.457,1,0.235,0.0591,0.0,0.134,0.816,170.193,225987,2019
Wasted,0.743,0.753,1,-4.479,1,0.0424,0.0714,3.02e-06,0.088,0.697,157.046,171210,2020
MET GALA,0.873,0.577,1,-9.151,1,0.271,0.353,0.0,0.111,0.956,117.089,149133,2020
My Way (feat. Monty),0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,213053,2015
Feeling Whitney,0.412,0.227,0,-12.696,1,0.0359,0.787,4.69e-06,0.282,0.226,80.111,257267,2016
Pain = BESTFRIEND - feat. Travis Barker,0.671,0.628,4,-5.117,1,0.0273,0.536,0.151,0.12,0.595,135.005,101517,2018
Wiley Flow,0.716,0.68,5,-4.721,0,0.309,0.241,0.0,0.202,0.475,140.417,207366,2019
In Your Eyes (with Doja Cat) - Remix,0.679,0.731,7,-5.522,0,0.0319,0.00518,0.000127,0.0614,0.727,99.984,237912,2020
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),0.858,0.697,2,-5.361,1,0.23,0.114,0.0,0.224,0.364,98.012,290836,2015
F*ck Up Some Commas,0.874,0.568,11,-5.896,0,0.224,0.0698,1.38e-05,0.149,0.46,139.995,237400,2015
I Get the Bag (feat. Migos),0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,233087,2017
All The Way Up (Remix),0.564,0.717,10,-6.403,0,0.397,0.097,0.0,0.493,0.423,117.489,284831,2016
GHOST,0.782,0.531,1,-6.636,1,0.168,0.145,0.0501,0.238,0.247,148.046,129733,2018
No Limit,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,2017
Man Don't Dance,0.809,0.877,10,-3.749,0,0.283,0.00477,0.00129,0.121,0.662,109.894,218607,2018
Swap Meet,0.689,0.425,11,-9.909,0,0.0379,0.348,0.0,0.11,0.278,143.931,146773,2019
BO$$ (feat. Young Dolph & G Herbo),0.825,0.722,1,-4.698,1,0.287,0.237,0.000338,0.34,0.65,109.993,187188,2019
Lighter (feat. KSI),0.703,0.837,8,-3.606,1,0.0395,0.0214,4.45e-05,0.104,0.356,124.953,182439,2020
"Down Like That (feat. Rick Ross, Lil Baby & S-X)",0.591,0.8,1,-4.956,1,0.286,0.353,0.0,0.247,0.592,139.472,175462,2019
Status (feat. Lil Uzi Vert),0.951,0.72,6,-4.467,1,0.302,0.0406,0.0,0.0998,0.687,134.033,174367,2020
