,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Gospel,0.681,0.659,9,-6.405,1,0.268,0.000856,8.17e-06,0.11,0.225,156.004,173294,2017
Love Me,0.672,0.632,8,-6.426,0,0.033,0.0133,0.0,0.108,0.501,124.931,255280,2013
F.N,0.562,0.502,6,-10.269,0,0.255,0.323,0.0,0.0757,0.322,120.104,224000,2019
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100,2019
Stuck In A Dream (feat. Gunna),0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.117,0.745,139.962,123560,2019
Money In The Grave (Drake ft. Rick Ross),0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,2019
Bad Bad Bad (feat. Lil Baby),0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,2019
emotions,0.63,0.63,9,-6.211,1,0.0395,0.0131,0.0,0.142,0.163,80.512,131213,2019
Baby Sitter (feat. Offset),0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693,2019
ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,2019
Death Note,0.762,0.709,11,-5.333,1,0.337,0.141,0.0,0.0798,0.537,174.041,167520,2019
Ruthless (feat. Jay Critch),0.734,0.605,9,-9.769,1,0.0589,0.0505,0.0,0.253,0.371,129.903,244573,2019
G Walk (with Chris Brown),0.744,0.709,0,-5.359,1,0.101,0.275,0.0,0.126,0.72,89.969,141333,2019
Shots,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,109373,2019
The London (feat. J. Cole & Travis Scott),0.784,0.517,4,-8.981,0,0.209,0.0249,1.44e-06,0.155,0.206,97.991,200187,2019
CAPO,0.617,0.953,2,-4.162,1,0.0693,0.119,0.0,0.331,0.594,154.964,192200,2019
VIBEZ,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,2019
Tap (feat. Meek Mill),0.901,0.676,2,-7.033,1,0.251,0.0646,0.0,0.0863,0.452,85.018,148278,2019
Baby Birkin,0.848,0.649,2,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,181948,2019
gone girl,0.677,0.714,11,-5.637,1,0.0287,0.162,0.0,0.0717,0.355,94.956,136568,2019
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",0.642,0.647,7,-6.312,0,0.428,0.517,0.0,0.0649,0.664,120.749,217867,2019
Broke As Fuck,0.616,0.669,1,-5.791,1,0.32,0.0298,0.0,0.127,0.275,154.056,196112,2019
Ballin' (with Roddy Ricch),0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,2019
Bust Down Cartier,0.632,0.727,0,-7.353,1,0.0749,0.045,0.0,0.117,0.407,161.707,148148,2018
Molly Girl,0.572,0.592,8,-7.48,1,0.21,0.00078,0.0,0.119,0.261,177.896,117013,2019
romance361,0.713,0.632,1,-7.685,1,0.105,0.0589,1.44e-06,0.105,0.373,170.009,181290,2019
Bossanova,0.717,0.493,5,-7.146,0,0.266,0.00578,0.0,0.156,0.258,139.833,123573,2019
Mac 10,0.787,0.619,9,-7.32,1,0.17,0.181,0.0,0.323,0.824,124.09,127843,2019
SAD!,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,2018
Jocelyn Flores,0.856,0.379,0,-9.143,0,0.283,0.493,1.4e-05,0.289,0.461,134.012,119133,2022
Moonlight,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,2018
changes,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,121887,2018
Fuck Love (feat. Trippie Redd),0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,2017
Look At Me!,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,2017
Falling Down - Bonus Track,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,2018
